"date","TagID","travel_adj","period","sum_p","mean_r","mean_t","mean_w"
2024-07-05,"Tag_21",75.4943760839712,"before",0,283.1,13.6766666666667,2.23133333333333
2024-07-05,"Tag_11",132.225694544179,"before",0,283.1,13.6766666666667,2.23133333333333
2024-07-05,"Tag_20",14.9470675994882,"before",0,283.1,13.6766666666667,2.23133333333333
2024-07-05,"Tag_8",91.8354707528603,"before",0,283.1,13.6766666666667,2.23133333333333
2024-07-05,"Tag_5",3.36981412292955,"before",0,283.1,13.6766666666667,2.23133333333333
2024-07-05,"Tag_19",91.7883282459215,"before",0,283.1,13.6766666666667,2.23133333333333
2024-07-05,"Tag_3",21.5210651789337,"before",0,283.1,13.6766666666667,2.23133333333333
2024-07-06,"Tag_14",94.8654918568118,"after",0,567.7,15.4366666666667,3.78466666666667
2024-07-06,"Tag_21",37.3982642172536,"after",0,567.7,15.4366666666667,3.78466666666667
2024-07-06,"Tag_11",140.575230950169,"after",0,567.7,15.4366666666667,3.78466666666667
2024-07-06,"Tag_5",0,"after",0,567.7,15.4366666666667,3.78466666666667
2024-07-06,"Tag_20",153.710255758259,"after",0,567.7,15.4366666666667,3.78466666666667
2024-07-06,"Tag_13",195.472997031013,"after",0,567.7,15.4366666666667,3.78466666666667
2024-07-06,"Tag_19",214.969115674987,"after",0,567.7,15.4366666666667,3.78466666666667
2024-07-06,"Tag_8",182.49646500537,"after",0,567.7,15.4366666666667,3.78466666666667
2024-07-06,"Tag_3",18.5779591295011,"after",0,567.7,15.4366666666667,3.78466666666667
2024-07-06,"Tag_20",60.3910895336207,"before",0,517.666666666667,14.2266666666667,3.145
2024-07-06,"Tag_14",53.6155337614279,"before",0,517.666666666667,14.2266666666667,3.145
2024-07-06,"Tag_19",177.618654433356,"before",0,517.666666666667,14.2266666666667,3.145
2024-07-06,"Tag_13",176.197493793174,"before",0,517.666666666667,14.2266666666667,3.145
2024-07-06,"Tag_5",35.2297465898647,"before",0,517.666666666667,14.2266666666667,3.145
2024-07-06,"Tag_11",156.430735505905,"before",0,517.666666666667,14.2266666666667,3.145
2024-07-06,"Tag_21",15.1303180619884,"before",0,517.666666666667,14.2266666666667,3.145
2024-07-06,"Tag_3",17.7935011502939,"before",0,517.666666666667,14.2266666666667,3.145
2024-07-06,"Tag_8",37.6992783440315,"before",0,517.666666666667,14.2266666666667,3.145
2024-07-07,"Tag_20",144.47984078397,"before",0.207,502.433333333333,14.94,2.562
2024-07-07,"Tag_3",63.5700856355237,"before",0.207,502.433333333333,14.94,2.562
2024-07-07,"Tag_11",104.976315940694,"before",0.207,502.433333333333,14.94,2.562
2024-07-07,"Tag_14",57.1857644115601,"before",0.207,502.433333333333,14.94,2.562
2024-07-07,"Tag_21",54.6819217008982,"before",0.207,502.433333333333,14.94,2.562
2024-07-07,"Tag_5",78.8756966263801,"before",0.207,502.433333333333,14.94,2.562
2024-07-07,"Tag_13",210.571288664635,"before",0.207,502.433333333333,14.94,2.562
2024-07-07,"Tag_19",114.863188023489,"before",0.207,502.433333333333,14.94,2.562
2024-07-07,"Tag_8",139.60279188441,"before",0.207,502.433333333333,14.94,2.562
2024-07-08,"Tag_5",4.0465381714217,"after",0,645.4,16.11,2.20166666666667
2024-07-08,"Tag_11",44.5334751138631,"after",0,645.4,16.11,2.20166666666667
2024-07-08,"Tag_21",27.7398170407625,"after",0,645.4,16.11,2.20166666666667
2024-07-08,"Tag_20",5.26725157191435,"after",0,645.4,16.11,2.20166666666667
2024-07-08,"Tag_13",99.9630760543005,"after",0,645.4,16.11,2.20166666666667
