"date","TagID","tra_adj","phase","mean_r","mean_t","mean_w","sum_p"
2024-06-28,"Tag_14",2298.78435592337,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_16",1523.88542190759,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_18",1797.87385619882,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_19",2184.0069379587,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_20",1843.05816756114,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_21",2259.91260047573,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_22",2358.46774711431,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_3",1667.10064669471,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_5",1622.98428904798,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_7",1894.7964997301,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-28,"Tag_8",2035.45256436934,"no",287.435238095238,14.9890476190476,3.75638095238095,0
2024-06-29,"Tag_1",746.093760970855,"no",318.638095238095,16.1804761904762,2.41771428571429,1.035
